brand_name,price,generic_name
23 herb formula to increase breast milk,575.0,23 herb formula to increase breast milk
Lactohil 100 gm/container,575.0,23 herb formula to increase breast milk
Abacavir + Lamivudine + Zidovudine,140.53,Abacavir + Lamivudine + Zidovudine
Tivizid 300 mg+150 mg+300 mg,140.53,Abacavir + Lamivudine + Zidovudine
Abeclib 200 mg,1.0,Abemaciclib
Abemaciclib,1.0,Abemaciclib
Abhayarista,60.0,Abhayarista
Hemorist nan,60.0,Abhayarista
Abiraterone Acetate,1.0,Abiraterone Acetate
Abiret 250 mg,500.0,Abiraterone Acetate
Zytiga 250 mg,1.0,Abiraterone Acetate
Zytix 250 mg,580.0,Abiraterone Acetate
Acacia + Dates + Asparagus + Edible Pine,130.0,Acacia + Dates + Asparagus + Edible Pine
Majoon ard khurma nan,130.0,Acacia + Dates + Asparagus + Edible Pine
Acalabrutinib,1.0,Acalabrutinib
Calcent 100 mg,1.0,Acalabrutinib
Acarbose,11.04,Acarbose
Acaril 50 mg,15.0,Acarbose
Gluco-A 100 mg,20.07,Acarbose
Gluco-A 50 mg,11.04,Acarbose
Sugatrol 100 mg,25.0,Acarbose
Sugatrol 50 mg,15.0,Acarbose
A-Pak 100 mg,4.0,Aceclofenac
AC PR 100 mg,4.0,Aceclofenac
ACF 100 mg,4.0,Aceclofenac
ACN 100 mg,4.0,Aceclofenac
ASP 100 mg,3.0,Aceclofenac
Acebid 100 mg,4.01,Aceclofenac
Aceclof 100 mg,3.0,Aceclofenac
Aceclofen 100 mg,3.0,Aceclofenac
Aceclofenac,1.5,Aceclofenac
Aceclora 100 mg,3.02,Aceclofenac
Acecol 100 mg,3.0,Aceclofenac
Acedol 100 mg,4.01,Aceclofenac
Acedol SR 200 mg,7.0,Aceclofenac
Acefenac 100 mg,4.01,Aceclofenac
Acegic 100 mg,3.0,Aceclofenac
Acelock 100 mg,3.0,Aceclofenac
Acelon 100 mg,3.0,Aceclofenac
Acenac 100 mg,2.73,Aceclofenac
Acenopan 100 mg,4.0,Aceclofenac
Acepro 100 mg,4.0,Aceclofenac
Acflam 100 mg,4.0,Aceclofenac
Aclo 100 mg,4.0,Aceclofenac
Aclonac 100 mg,4.0,Aceclofenac
Aclopain 100 mg,4.0,Aceclofenac
Aclovix 100 mg,2.5,Aceclofenac
Alcefen 100 mg,4.0,Aceclofenac
Alofen 100 mg,3.0,Aceclofenac
Alona 100 mg,4.01,Aceclofenac
Analgen 100 mg,3.0,Aceclofenac
Apeclo 100 mg,3.0,Aceclofenac
Apeclo SR 200 mg,5.0,Aceclofenac
Apitac 100 mg,4.01,Aceclofenac
Arnac 100 mg,5.0,Aceclofenac
Aros 100 mg,4.0,Aceclofenac
Avenac 100 mg,5.02,Aceclofenac
Biofenac 100 mg,3.5,Aceclofenac
Casyn 100 mg,4.0,Aceclofenac
Ceclofen 100 mg,4.0,Aceclofenac
Ceclonac 100 mg,3.0,Aceclofenac
Ceconac 100 mg,3.0,Aceclofenac
Celofen 100 mg,4.01,Aceclofenac
Claim 100 mg,3.5,Aceclofenac
Claim ER 200 mg,7.0,Aceclofenac
Clof 100 mg,4.0,Aceclofenac
Dolonac 100 mg,3.0,Aceclofenac
Dolonac 100 mg,3.5,Aceclofenac
Ecena 100 mg,4.0,Aceclofenac
Ectinac 100 mg,3.01,Aceclofenac
Ena 100 mg,3.0,Aceclofenac
Exipain 100 mg,4.0,Aceclofenac
Ezemove 100 mg,4.0,Aceclofenac
Fenacin 100 mg,4.0,Aceclofenac
Fixonac 100 mg,4.0,Aceclofenac
Fleco 100 mg,2.5,Aceclofenac
Flexi 100 mg,5.0,Aceclofenac
Flexi SR 200 mg,7.02,Aceclofenac
Flexidol 100 mg,3.0,Aceclofenac
Flexivan 100 mg,4.01,Aceclofenac
Flexivan ER 200 mg,6.02,Aceclofenac
Freemax 100 mg,4.96,Aceclofenac
Grofenac 100 mg,3.0,Aceclofenac
Hifenac 100 mg,4.02,Aceclofenac
Intas 100 mg,3.5,Aceclofenac
Labenac 100 mg,4.5,Aceclofenac
Labenac SR 200 mg,7.0,Aceclofenac
Lofam 100 mg,3.0,Aceclofenac
Lofens 100 mg,8.5,Aceclofenac
Maxpain 100 mg,3.5,Aceclofenac
Mervan 100 mg,5.0,Aceclofenac
Mervan SR 200 mg,7.0,Aceclofenac
Motifen 100 mg,3.5,Aceclofenac
Movex 100 mg,4.0,Aceclofenac
Movex SR 200 mg,7.0,Aceclofenac
Movon 100 mg,3.01,Aceclofenac
Noak 100 mg,4.01,Aceclofenac
Nofenac 100 mg,4.05,Aceclofenac
Nostrin 100 mg,3.0,Aceclofenac
Orcenac 100 mg,4.02,Aceclofenac
Orifen 100 mg,2.51,Aceclofenac
Ostoflex 100 mg,4.0,Aceclofenac
Painex 100 mg,4.0,Aceclofenac
Painkil 100 mg,4.02,Aceclofenac
Paino 100 mg,4.0,Aceclofenac
Penac-AC 100 mg,3.0,Aceclofenac
Polynac 100 mg,4.0,Aceclofenac
Ponos 100 mg,5.0,Aceclofenac
Preservin 100 mg,5.0,Aceclofenac
Preservin SR 200 mg,7.0,Aceclofenac
Protilez 100 mg,4.0,Aceclofenac
Qrip 100 mg,4.01,Aceclofenac
Relise 100 mg,2.5,Aceclofenac
Remave SR 200 mg,11.81,Aceclofenac
Repidor 100 mg,3.0,Aceclofenac
Reservix 100 mg,5.0,Aceclofenac
Reservix SR 200 mg,7.0,Aceclofenac
Rheuma 100 mg,2.8,Aceclofenac
Ruclon 100 mg,1.5,Aceclofenac
SB-Acelo 100 mg,4.0,Aceclofenac
Sapclo 100 mg,3.0,Aceclofenac
Servex 100 mg,4.02,Aceclofenac
Silfenac 100 mg,4.0,Aceclofenac
Syclofen 100 mg,3.0,Aceclofenac
Technofen 100 mg,4.96,Aceclofenac
Tek 100 mg,3.5,Aceclofenac
Ternilla 100 mg,5.0,Aceclofenac
Vaxtin 100 mg,5.1,Aceclofenac
Volfenac 100 mg,3.0,Aceclofenac
Xa Fast 100 mg,2.5,Aceclofenac
Xerifen 100 mg,3.0,Aceclofenac
Xeriflam 100 mg,3.0,Aceclofenac
Xpain 100 mg,3.01,Aceclofenac
Xtrafen 100 mg,2.0,Aceclofenac
Xtrafen SR 200 mg,6.67,Aceclofenac
Xyfen 100 mg,3.0,Aceclofenac
Zerodol 100 mg,3.01,Aceclofenac
Zolfin 100 mg,4.0,Aceclofenac
Zolonac 100 mg,4.01,Aceclofenac
Acemetacin,8.02,Acemetacin
Tendonil 60 mg,8.02,Acemetacin
Acetate Formulation [Hemodialysis Solution],562.1,Acetate Formulation [Hemodialysis Solution]
Dialyte-AC nan,562.1,Acetate Formulation [Hemodialysis Solution]
Acemox 250 mg,2.0,Acetazolamide
Acetazolamide,2.0,Acetazolamide
Remox 250 mg,2.0,Acetazolamide
Aceten 100 mg/sachet,10.0,Acetylcysteine
Aceten 600 mg,20.0,Acetylcysteine
Acetylcysteine,10.0,Acetylcysteine
Alistin DT 600 mg,15.0,Acetylcysteine
Mucomist 600 mg/3 ml,30.0,Acetylcysteine
Mucomist DT 600 mg,15.0,Acetylcysteine
Mukof 600 mg,15.0,Acetylcysteine
Nacsol 600 mg,15.0,Acetylcysteine
Tylace 600 mg,20.0,Acetylcysteine
Viscotin 100 mg/sachet,10.0,Acetylcysteine
Viscotin 200 mg/sachet,15.0,Acetylcysteine
Viscotin 600 mg,20.0,Acetylcysteine
Viscotin 600 mg/3 ml,30.0,Acetylcysteine
Acidic component [HCO3 Hemodialysis Solution],441.62,Acidic component [HCO3 Hemodialysis Solution]
Dialyte-A nan,516.9,Acidic component [HCO3 Hemodialysis Solution]
Hemosol-A nan,481.0,Acidic component [HCO3 Hemodialysis Solution]
Renalaid-A nan,441.62,Acidic component [HCO3 Hemodialysis Solution]
Acitretin,40.0,Acitretin
Soricap 10 mg,40.0,Acitretin
Soricap 25 mg,75.0,Acitretin
Soritec 10 mg,45.14,Acitretin
