brand_name,price,generic_name
23 herb formula to increase breast milk,575.0,23 herb formula to increase breast milk
Lactohil,575.0,23 herb formula to increase breast milk
Abacavir + Lamivudine + Zidovudine,140.53,Abacavir + Lamivudine + Zidovudine
Tivizid,140.53,Abacavir + Lamivudine + Zidovudine
Abeclib,1.0,Abemaciclib
Abemaciclib,1.0,Abemaciclib
Abhayarista,60.0,Abhayarista
Hemorist,60.0,Abhayarista
Abiraterone Acetate,1.0,Abiraterone Acetate
Abiret,500.0,Abiraterone Acetate
Zytiga,1.0,Abiraterone Acetate
Zytix,580.0,Abiraterone Acetate
Acacia + Dates + Asparagus + Edible Pine,130.0,Acacia + Dates + Asparagus + Edible Pine
Majoon ard khurma,130.0,Acacia + Dates + Asparagus + Edible Pine
Acalabrutinib,1.0,Acalabrutinib
Calcent,1.0,Acalabrutinib
Acarbose,11.04,Acarbose
Acaril,15.0,Acarbose
Gluco-A,11.04,Acarbose
Gluco-A,20.07,Acarbose
Sugatrol,15.0,Acarbose
Sugatrol,25.0,Acarbose
A-Pak,4.0,Aceclofenac
AC PR,4.0,Aceclofenac
ACF,4.0,Aceclofenac
ACN,4.0,Aceclofenac
ASP,3.0,Aceclofenac
Acebid,4.01,Aceclofenac
Aceclof,3.0,Aceclofenac
Aceclofen,3.0,Aceclofenac
Aceclofenac,1.5,Aceclofenac
Aceclora,3.02,Aceclofenac
Acecol,3.0,Aceclofenac
Acedol,4.01,Aceclofenac
Acedol SR,7.0,Aceclofenac
Acefenac,4.01,Aceclofenac
Acegic,3.0,Aceclofenac
Acelock,3.0,Aceclofenac
Acelon,3.0,Aceclofenac
Acenac,2.73,Aceclofenac
Acenopan,4.0,Aceclofenac
Acepro,4.0,Aceclofenac
Acflam,4.0,Aceclofenac
Aclo,4.0,Aceclofenac
Aclonac,4.0,Aceclofenac
Aclopain,4.0,Aceclofenac
Aclovix,2.5,Aceclofenac
Alcefen,4.0,Aceclofenac
Alofen,3.0,Aceclofenac
Alona,4.01,Aceclofenac
Analgen,3.0,Aceclofenac
Apeclo,3.0,Aceclofenac
Apeclo SR,5.0,Aceclofenac
Apitac,4.01,Aceclofenac
Arnac,5.0,Aceclofenac
Aros,4.0,Aceclofenac
Avenac,5.02,Aceclofenac
Biofenac,3.5,Aceclofenac
Casyn,4.0,Aceclofenac
Ceclofen,4.0,Aceclofenac
Ceclonac,3.0,Aceclofenac
Ceconac,3.0,Aceclofenac
Celofen,4.01,Aceclofenac
Claim,3.5,Aceclofenac
Claim ER,7.0,Aceclofenac
Clof,4.0,Aceclofenac
Dolonac,3.0,Aceclofenac
Dolonac,3.5,Aceclofenac
Ecena,4.0,Aceclofenac
Ectinac,3.01,Aceclofenac
Ena,3.0,Aceclofenac
Exipain,4.0,Aceclofenac
Ezemove,4.0,Aceclofenac
Fenacin,4.0,Aceclofenac
Fixonac,4.0,Aceclofenac
Fleco,2.5,Aceclofenac
Flexi,5.0,Aceclofenac
Flexi SR,7.02,Aceclofenac
Flexidol,3.0,Aceclofenac
Flexivan,4.01,Aceclofenac
Flexivan ER,6.02,Aceclofenac
Freemax,4.96,Aceclofenac
Grofenac,3.0,Aceclofenac
Hifenac,4.02,Aceclofenac
Intas,3.5,Aceclofenac
Labenac,4.5,Aceclofenac
Labenac SR,7.0,Aceclofenac
Lofam,3.0,Aceclofenac
Lofens,8.5,Aceclofenac
Maxpain,3.5,Aceclofenac
Mervan,5.0,Aceclofenac
Mervan SR,7.0,Aceclofenac
Motifen,3.5,Aceclofenac
Movex,4.0,Aceclofenac
Movex SR,7.0,Aceclofenac
Movon,3.01,Aceclofenac
Noak,4.01,Aceclofenac
Nofenac,4.05,Aceclofenac
Nostrin,3.0,Aceclofenac
Orcenac,4.02,Aceclofenac
Orifen,2.51,Aceclofenac
Ostoflex,4.0,Aceclofenac
Painex,4.0,Aceclofenac
Painkil,4.02,Aceclofenac
Paino,4.0,Aceclofenac
Penac-AC,3.0,Aceclofenac
Polynac,4.0,Aceclofenac
Ponos,5.0,Aceclofenac
Preservin,5.0,Aceclofenac
Preservin SR,7.0,Aceclofenac
Protilez,4.0,Aceclofenac
Qrip,4.01,Aceclofenac
Relise,2.5,Aceclofenac
Remave SR,11.81,Aceclofenac
Repidor,3.0,Aceclofenac
Reservix,5.0,Aceclofenac
Reservix SR,7.0,Aceclofenac
Rheuma,2.8,Aceclofenac
Ruclon,1.5,Aceclofenac
SB-Acelo,4.0,Aceclofenac
Sapclo,3.0,Aceclofenac
Servex,4.02,Aceclofenac
Silfenac,4.0,Aceclofenac
Syclofen,3.0,Aceclofenac
Technofen,4.96,Aceclofenac
Tek,3.5,Aceclofenac
Ternilla,5.0,Aceclofenac
Vaxtin,5.1,Aceclofenac
Volfenac,3.0,Aceclofenac
Xa Fast,2.5,Aceclofenac
Xerifen,3.0,Aceclofenac
Xeriflam,3.0,Aceclofenac
Xpain,3.01,Aceclofenac
Xtrafen,2.0,Aceclofenac
Xtrafen SR,6.67,Aceclofenac
Xyfen,3.0,Aceclofenac
Zerodol,3.01,Aceclofenac
Zolfin,4.0,Aceclofenac
Zolonac,4.01,Aceclofenac
Acemetacin,8.02,Acemetacin
Tendonil,8.02,Acemetacin
Acetate Formulation [Hemodialysis Solution],562.1,Acetate Formulation [Hemodialysis Solution]
Dialyte-AC,562.1,Acetate Formulation [Hemodialysis Solution]
Acemox,2.0,Acetazolamide
Acetazolamide,2.0,Acetazolamide
Remox,2.0,Acetazolamide
Aceten,10.0,Acetylcysteine
Aceten,20.0,Acetylcysteine
Acetylcysteine,10.0,Acetylcysteine
Alistin DT,15.0,Acetylcysteine
Mucomist,30.0,Acetylcysteine
Mucomist DT,15.0,Acetylcysteine
Mukof,15.0,Acetylcysteine
Nacsol,15.0,Acetylcysteine
Tylace,20.0,Acetylcysteine
Viscotin,30.0,Acetylcysteine
Viscotin,20.0,Acetylcysteine
Viscotin,15.0,Acetylcysteine
Viscotin,10.0,Acetylcysteine
Acidic component [HCO3 Hemodialysis Solution],441.62,Acidic component [HCO3 Hemodialysis Solution]
Dialyte-A,516.9,Acidic component [HCO3 Hemodialysis Solution]
Hemosol-A,481.0,Acidic component [HCO3 Hemodialysis Solution]
Renalaid-A,441.62,Acidic component [HCO3 Hemodialysis Solution]
Acitretin,40.0,Acitretin
Soricap,75.0,Acitretin
Soricap,40.0,Acitretin
Soritec,85.26,Acitretin
Soritec,45.14,Acitretin
Aclidinium Bromide + Formoterol Fumarate,25.0,Aclidinium Bromide + Formoterol Fumarate
Aclitol,25.0,Aclidinium Bromide + Formoterol Fumarate
Activated Charcoal,9.89,Activated Charcoal
Ultracarbon,9.89,Activated Charcoal
Acerux,700.0,Acyclovir (Injection)
Acerux,400.0,Acyclovir (Injection)
Acyclovir (Injection),1.0,Acyclovir (Injection)
Acyvir,700.0,Acyclovir (Injection)
Acyvir,400.0,Acyclovir (Injection)
Simplovir,1.0,Acyclovir (Injection)
Simplovir,700.0,Acyclovir (Injection)
Simplovir,400.0,Acyclovir (Injection)
Virunil,700.0,Acyclovir (Injection)
Virunil,400.0,Acyclovir (Injection)
Virux,702.11,Acyclovir (Injection)
Xovir,702.11,Acyclovir (Injection)
Xovir,401.2,Acyclovir (Injection)
Acerux,45.17,Acyclovir (Ophthalmic)
Aciclon,60.0,Acyclovir (Ophthalmic)
Acyclovir (Ophthalmic),45.17,Acyclovir (Ophthalmic)
Acyvir,125.0,Acyclovir (Ophthalmic)
Clovir,100.0,Acyclovir (Ophthalmic)
Cuvir,125.0,Acyclovir (Ophthalmic)
Cyclovex,45.17,Acyclovir (Ophthalmic)
Optivir,100.0,Acyclovir (Ophthalmic)
Sevirax,70.21,Acyclovir (Ophthalmic)
Virine,100.0,Acyclovir (Ophthalmic)
Virupos,600.0,Acyclovir (Ophthalmic)
Acerux,30.0,Acyclovir (Oral)
Acerux,125.47,Acyclovir (Oral)
Acerux,22.0,Acyclovir (Oral)
Acerux,14.05,Acyclovir (Oral)
Acyclovir (Oral),14.0,Acyclovir (Oral)
Clovir,14.0,Acyclovir (Oral)
Clovir,22.0,Acyclovir (Oral)
Novirax,22.1,Acyclovir (Oral)
Novirax,14.5,Acyclovir (Oral)
Simplovir,125.0,Acyclovir (Oral)
Simplovir,22.0,Acyclovir (Oral)
Simplovir,14.0,Acyclovir (Oral)
Viroxi,14.0,Acyclovir (Oral)
Virux,14.1,Acyclovir (Oral)
Virux,125.85,Acyclovir (Oral)
Virux,22.14,Acyclovir (Oral)
Xovir,22.0,Acyclovir (Oral)
Xovir,14.0,Acyclovir (Oral)
Xovir,125.0,Acyclovir (Oral)
Acerux,40.15,Acyclovir (Topical)
Acyclovir (Topical),40.0,Acyclovir (Topical)
Clovir,40.0,Acyclovir (Topical)
Novirax,40.15,Acyclovir (Topical)
Simplovir,40.0,Acyclovir (Topical)
Virux,70.0,Acyclovir (Topical)
Acerux-H,35.0,Acyclovir + Hydrocortisone
Acyclovir + Hydrocortisone,35.0,Acyclovir + Hydrocortisone
